participant,app,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
p1,Beatwave,5,4,4,3,3,2,3,2,4,2
p2,Beatwave,5,5,4,4,4,3,4,4,5,5
p3,Beatwave,5,5,4,3,2,2,3,4,4,4
p4,Beatwave,3,3,2,2,2,3,2,2,3,2
p5,Beatwave,4,5,4,4,4,5,5,4,4,4
p6,Beatwave,5,4,3,5,4,4,5,4,4,3
p7,Beatwave,5,4,4,5,4,4,4,4,4,4
p8,Beatwave,5,5,5,5,5,4,5,5,5,5
p9,Beatwave,5,5,4,4,5,5,5,4,4,5
p10,Beatwave,4,4,4,3,3,3,5,3,4,4
p11,Beatwave,5,4,4,5,5,5,5,4,4,4
p12,Beatwave,5,5,4,5,5,5,4,5,5,4
p13,Beatwave,3,4,5,4,5,4,4,4,5,5
p14,Beatwave,4,2,3,3,3,2,4,2,3,2
p15,Beatwave,4,4,4,4,5,5,4,4,4,4
p16,Beatwave,4,4,3,4,4,3,4,4,4,4
p17,Beatwave,5,5,4,5,4,4,4,4,4,4
p18,Beatwave,5,5,5,5,5,5,5,5,5,5
p19,Beatwave,5,4,4,5,5,4,3,4,4,5
p20,Beatwave,5,5,5,4,4,4,4,4,3,4
p1,Volotic,1,2,2,1,2,1,1,1,2,1
p2,Volotic,5,4,4,4,4,3,4,4,5,4
p3,Volotic,5,5,4,5,4,3,5,5,5,4
p4,Volotic,4,4,3,3,2,4,2,4,3,1
p5,Volotic,4,3,3,4,2,2,2,2,3,3
p6,Volotic,2,4,1,3,2,2,4,1,3,2
p7,Volotic,5,4,4,5,3,3,4,3,4,4
p8,Volotic,5,5,4,5,3,4,4,4,5,4
p9,Volotic,4,4,3,4,3,3,4,3,4,4
p10,Volotic,4,2,2,4,3,3,2,2,4,2
p11,Volotic,4,4,4,4,4,4,4,3,4,4
p12,Volotic,4,3,2,4,3,3,2,4,4,3
p13,Volotic,3,4,3,3,4,5,4,3,4,4
p14,Volotic,5,4,3,5,4,3,4,4,4,3
p15,Volotic,3,4,3,3,4,2,3,3,3,4
p16,Volotic,4,4,3,4,4,3,4,4,4,4
p17,Volotic,3,4,2,1,2,3,2,1,1,2
p18,Volotic,4,3,5,4,2,3,3,4,4,4
p19,Volotic,4,3,3,3,3,2,4,4,4,4
p20,Volotic,2,3,3,2,3,3,3,3,3,2
p1,S.A.M.M.I,5,4,4,5,5,5,4,4,5,5
p2,S.A.M.M.I,4,4,4,5,4,4,5,4,5,4
p3,S.A.M.M.I,2,3,1,3,3,4,3,3,3,4
p4,S.A.M.M.I,2,1,2,2,1,4,2,2,3,3
p5,S.A.M.M.I,4,5,4,5,4,4,4,5,4,4
p6,S.A.M.M.I,1,5,4,2,4,5,2,2,4,4
p7,S.A.M.M.I,4,4,4,4,4,4,2,3,4,4
p8,S.A.M.M.I,4,5,5,3,5,4,4,3,3,5
p9,S.A.M.M.I,4,4,4,5,4,4,4,4,4,4
p10,S.A.M.M.I,4,5,4,4,4,4,4,4,4,4
p11,S.A.M.M.I,5,5,4,4,4,4,4,4,4,4
p12,S.A.M.M.I,4,4,4,5,4,5,3,4,4,4
p13,S.A.M.M.I,3,4,3,3,4,5,4,3,4,4
p14,S.A.M.M.I,4,4,5,4,4,5,2,3,4,4
p15,S.A.M.M.I,3,4,3,3,3,4,4,3,4,4
p16,S.A.M.M.I,4,4,3,4,4,3,4,4,4,4
p17,S.A.M.M.I,4,4,4,4,2,4,2,3,2,3
p18,S.A.M.M.I,5,4,4,3,4,2,2,3,4,4
p19,S.A.M.M.I,4,4,4,4,4,5,5,3,4,4
p20,S.A.M.M.I,3,3,4,4,3,3,2,2,3,4
